,index,PDE_DRUG_CD,TOTAL_52WEEK_DEMAND,TOTAL_COST,AVG_WEEKLY_DEMAND,STDDEVDEMAND,AVERAGE_LEAD_TIME,Order_Frequency,Max_Weekly_Demand,Demand_Category,COST_PER_UNIT,Fixed/Ordering Cost (10% of Total),Holding Cost (25% of total),ORDER_QTY_EOQ,SAFETY_STOCK,VOLATILITY_RATIO,NORM_VOLATILITY_RATIO,NORM_COST_PER_UNIT,REORDER_POINT,DEMAND_VOLATILITY,COST_CAT_TAG
16,16,186,1293443.0,319540,23983.490566037737,8542.972705531098,6.618181818181818,52.0,52466.0,High,0.24704606233131263,31954.0,79885.0,1017.0,36263.0,0.35620222511015687,0.5681571257973832,0.26444724764895083,58938.0,Low,Med
17,17,188,974461.0,1387280,18071.603773584906,2740.3913203681564,6.763636363636364,52.0,20889.0,High,1.4236382985055327,138728.0,346820.0,883.0,11759.0,0.151640737297138,0.8021325426762312,0.18656954156570202,29220.0,Med,Low
18,18,193,4184.0,6040,78.94339622641509,85.19383907672976,6.581818181818182,34.0,290.0,Med,1.4435946462715106,604.0,1510.0,58.0,361.0,1.0791762598151715,0.2587734610455764,0.18524864674927236,435.0,Low,Low
19,19,196,4366.0,5440,82.37735849056604,61.48581901464894,6.818181818181818,46.0,240.0,High,1.2459917544663308,544.0,1360.0,59.0,265.0,0.74639221433266,0.12186165558777427,0.19832782529224988,345.0,Low,Low
20,20,203,9519.0,20490,179.03773584905662,114.2748122046259,7.418181818181818,49.0,470.0,High,2.1525370312007563,2049.0,5122.5,87.0,514.0,0.6382722148640713,0.24552824708092577,0.13832431307952164,704.0,Low,Low
21,21,204,801.0,1470,15.11320754716981,19.013153341831536,6.8,21.0,60.0,Med,1.8352059925093633,147.0,367.5,25.0,82.0,1.2580488478365437,0.46336616712109147,0.15932820261958577,97.0,Low,Low
22,22,221,6871.0,7210,127.37735849056604,99.8838826187094,7.0,46.0,360.0,High,1.0493377965361665,721.0,1802.5,74.0,436.0,0.7841572772613833,0.07866634821750002,0.21134419465534435,563.0,Low,Med
23,23,229,4302.0,7560,79.47169811320755,65.56546490858771,7.454545454545454,42.0,240.0,High,1.7573221757322175,756.0,1890.0,59.0,295.0,0.8250165337500353,0.03193193270019317,0.16448327062456794,380.0,Low,Low
24,24,230,1488877.0,3962950,27635.528301886792,10609.41592363787,7.490909090909091,52.0,56418.0,High,2.661704089726687,396295.0,990737.5,1091.0,47912.0,0.3839049432217122,0.5364710294156777,0.10462294967422775,77486.0,Low,Low
25,25,236,1496.0,3650,28.22641509433962,48.60531441928283,6.5636363636363635,16.0,200.0,Med,2.4398395721925135,365.0,912.5,35.0,205.0,1.7219797220735227,0.9940057360011595,0.11930798596429361,231.0,Med,Low
26,26,252,2831.0,3340,52.283018867924525,46.977152958325185,6.5636363636363635,41.0,180.0,High,1.1797951253973862,334.0,835.0,48.0,199.0,0.8985164586038379,0.052136558109531994,0.20270932762061453,248.0,Low,Med
27,27,253,340.0,400,6.415094339622642,12.17735236215416,6.581818181818182,10.0,30.0,Low,1.1764705882352942,40.0,100.0,16.0,52.0,1.8982343388063836,1.1956040322776698,0.20292937609621392,58.0,High,Med
28,28,254,40467.0,14010,749.566037735849,228.63660023835521,7.345454545454546,52.0,1200.0,High,0.3462080213507302,1401.0,3502.5,180.0,1022.0,0.3050252929401371,0.6266927972332792,0.25788379630044994,1809.0,Med,Med
29,29,256,706.0,1050,13.320754716981131,40.93384070868772,7.4363636363636365,6.0,200.0,Low,1.4872521246458923,105.0,262.5,24.0,184.0,3.072937050368908,2.5392174347074827,0.18235899291284124,198.0,High,Low
30,30,281,39177.0,68650,729.0,295.3681904412327,7.5636363636363635,52.0,1280.0,High,1.7523036475483065,6865.0,17162.5,177.0,1340.0,0.4051689855160942,0.5121494270771908,0.1648154430211392,2128.0,Low,Low
31,31,282,154.0,120,2.9056603773584904,8.770463741546905,7.363636363636363,4.0,30.0,Low,0.7792207792207793,12.0,30.0,11.0,39.0,3.018406352610299,2.4768457591923565,0.22922302560103547,42.0,High,Med
32,32,283,4362.0,6270,78.90566037735849,74.53140826262484,6.3090909090909095,42.0,320.0,High,1.437414030261348,627.0,1567.5,59.0,309.0,0.9445635193493822,0.10480473308796358,0.1856577368165483,380.0,Low,Low
33,33,284,714145.0,1729980,13221.283018867925,2062.4647763123135,7.472727272727273,52.0,15759.0,High,2.422449222496832,172998.0,432495.0,756.0,9303.0,0.15599581170518748,0.797151251422165,0.12045903940544912,23417.0,Med,Low
34,34,286,92.0,100,1.7358490566037736,6.932639862110382,6.927272727272728,2.0,30.0,Low,1.0869565217391304,10.0,25.0,9.0,30.0,3.993803398824459,3.5924953027611863,0.20885424109750944,32.0,High,Med
